subj,item,bin,variable,fix
2,27,1,target,0
2,27,2,target,0
2,27,3,target,0
2,27,4,target,0
2,27,5,target,0
2,27,6,target,0
2,27,7,target,0
2,27,8,target,0
2,27,9,target,1
2,27,10,target,1
2,27,11,target,1
2,27,12,target,1
2,27,13,target,1
2,27,14,target,1
2,27,15,target,1
2,27,16,target,1
2,27,17,target,1
2,27,18,target,1
2,27,19,target,1
2,27,20,target,1
2,27,21,target,1
2,27,22,target,1
2,28,1,target,0
2,28,2,target,0
2,28,3,target,1
2,28,4,target,1
2,28,5,target,1
2,28,6,target,1
2,28,7,target,1
2,28,8,target,1
2,28,9,target,1
2,28,10,target,1
2,28,11,target,1
2,28,12,target,1
2,28,13,target,1
2,28,14,target,1
2,28,15,target,1
2,28,16,target,1
2,28,17,target,1
2,28,18,target,1
2,28,19,target,1
2,28,20,target,1
2,28,21,target,1
2,28,22,target,1
2,29,1,target,0
2,29,2,target,0
2,29,3,target,0
2,29,4,target,1
2,29,5,target,1
2,29,6,target,1
2,29,7,target,1
2,29,8,target,1
2,29,9,target,1
2,29,10,target,1
2,29,11,target,1
2,29,12,target,1
2,29,13,target,1
2,29,14,target,1
2,29,15,target,1
2,29,16,target,1
2,29,17,target,1
2,29,18,target,0
2,29,19,target,0
2,29,20,target,0
2,29,21,target,0
2,29,22,target,0
2,30,1,target,0
2,30,2,target,0
2,30,3,target,0
2,30,4,target,0
2,30,5,target,1
2,30,6,target,1
2,30,7,target,1
2,30,8,target,1
2,30,9,target,1
2,30,10,target,1
2,30,11,target,1
2,30,12,target,1
2,30,13,target,1
2,30,14,target,1
2,30,15,target,1
2,30,16,target,1
2,30,17,target,0
2,30,18,target,0
2,30,19,target,0
2,30,20,target,0
2,30,21,target,0
2,30,22,target,0
2,31,1,target,1
2,31,2,target,1
2,31,3,target,1
2,31,4,target,0
2,31,5,target,0
2,31,6,target,0
2,31,7,target,0
2,31,8,target,0
2,31,9,target,0
2,31,10,target,0
2,31,11,target,0
2,31,12,target,0
2,31,13,target,0
2,31,14,target,0
2,31,15,target,0
2,31,16,target,0
2,31,17,target,0
2,31,18,target,0
2,31,19,target,0
2,31,20,target,0
2,31,21,target,0
2,31,22,target,0
2,32,1,target,1
2,32,2,target,1
2,32,3,target,1
2,32,4,target,1
2,32,5,target,1
2,32,6,target,0
2,32,7,target,0
2,32,8,target,0
2,32,9,target,0
2,32,10,target,0
2,32,11,target,0
2,32,12,target,0
2,32,13,target,0
2,32,14,target,0
2,32,15,target,0
2,32,16,target,0
2,32,17,target,0
2,32,18,target,0
2,32,19,target,0
2,32,20,target,0
2,32,21,target,0
2,32,22,target,0
2,33,1,target,1
2,33,2,target,1
2,33,3,target,1
2,33,4,target,1
2,33,5,target,1
2,33,6,target,1
2,33,7,target,1
2,33,8,target,1
2,33,9,target,1
2,33,10,target,1
2,33,11,target,1
2,33,12,target,1
2,33,13,target,1
2,33,14,target,1
2,33,15,target,0
2,33,16,target,0
2,33,17,target,0
2,33,18,target,0
2,33,19,target,0
2,33,20,target,0
2,33,21,target,0
2,33,22,target,0
2,34,1,target,1
2,34,2,target,1
2,34,3,target,1
2,34,4,target,1
2,34,5,target,0
2,34,6,target,0
2,34,7,target,0
2,34,8,target,0
2,34,9,target,0
2,34,10,target,0
2,34,11,target,1
2,34,12,target,1
2,34,13,target,1
2,34,14,target,1
2,34,15,target,1
2,34,16,target,0
2,34,17,target,0
2,34,18,target,0
2,34,19,target,0
2,34,20,target,0
2,34,21,target,0
2,34,22,target,0
2,35,1,target,0
2,35,2,target,0
2,35,3,target,0
2,35,4,target,0
2,35,5,target,1
2,35,6,target,1
2,35,7,target,1
2,35,8,target,1
2,35,9,target,1
2,35,10,target,0
2,35,11,target,0
2,35,12,target,0
2,35,13,target,0
2,35,14,target,0
2,35,15,target,0
2,35,16,target,0
2,35,17,target,0
2,35,18,target,0
2,35,19,target,0
2,35,20,target,0
2,35,21,target,1
2,35,22,target,1
2,36,1,target,0
2,36,2,target,0
2,36,3,target,0
2,36,4,target,0
2,36,5,target,0
2,36,6,target,1
2,36,7,target,1
2,36,8,target,1
2,36,9,target,1
2,36,10,target,1
2,36,11,target,1
2,36,12,target,1
2,36,13,target,1
2,36,14,target,1
2,36,15,target,1
2,36,16,target,0
2,36,17,target,0
2,36,18,target,0
2,36,19,target,0
2,36,20,target,0
2,36,21,target,0
2,36,22,target,0
2,37,1,target,1
2,37,2,target,1
2,37,3,target,1
2,37,4,target,1
2,37,5,target,1
2,37,6,target,1
2,37,7,target,0
2,37,8,target,1
2,37,9,target,1
2,37,10,target,1
2,37,11,target,1
2,37,12,target,1
2,37,13,target,1
2,37,14,target,1
2,37,15,target,1
2,37,16,target,1
2,37,17,target,1
2,37,18,target,1
2,37,19,target,1
2,37,20,target,1
2,37,21,target,1
2,37,22,target,1
2,38,1,target,1
2,38,2,target,1
2,38,3,target,1
2,38,4,target,1
2,38,5,target,1
2,38,6,target,1
2,38,7,target,1
2,38,8,target,1
2,38,9,target,1
2,38,10,target,1
2,38,11,target,1
2,38,12,target,1
2,38,13,target,1
2,38,14,target,1
2,38,15,target,1
2,38,16,target,1
2,38,17,target,1
2,38,18,target,1
2,38,19,target,1
2,38,20,target,1
2,38,21,target,1
2,38,22,target,1
2,39,1,target,0
2,39,2,target,0
2,39,3,target,0
2,39,4,target,0
2,39,5,target,0
2,39,6,target,0
2,39,7,target,0
2,39,8,target,1
2,39,9,target,1
2,39,10,target,1
2,39,11,target,0
2,39,12,target,0
2,39,13,target,0
2,39,14,target,0
2,39,15,target,0
2,39,16,target,0
2,39,17,target,0
2,39,18,target,0
2,39,19,target,0
2,39,20,target,0
2,39,21,target,0
2,39,22,target,0
2,40,1,target,1
2,40,2,target,1
2,40,3,target,1
2,40,4,target,1
2,40,5,target,1
2,40,6,target,1
2,40,7,target,1
2,40,8,target,1
2,40,9,target,1
2,40,10,target,1
2,40,11,target,1
2,40,12,target,1
2,40,13,target,1
2,40,14,target,1
2,40,15,target,1
2,40,16,target,1
2,40,17,target,1
2,40,18,target,1
2,40,19,target,1
2,40,20,target,1
2,40,21,target,1
2,40,22,target,1
2,41,1,target,0
2,41,2,target,0
2,41,3,target,0
2,41,4,target,0
2,41,5,target,0
2,41,6,target,0
2,41,7,target,1
2,41,8,target,1
2,41,9,target,1
2,41,10,target,1
2,41,11,target,1
2,41,12,target,1
2,41,13,target,1
2,41,14,target,1
2,41,15,target,1
2,41,16,target,1
2,41,17,target,1
2,41,18,target,1
2,41,19,target,1
2,41,20,target,0
2,41,21,target,0
2,41,22,target,0
2,42,1,target,0
2,42,2,target,0
2,42,3,target,0
2,42,4,target,1
2,42,5,target,1
2,42,6,target,1
2,42,7,target,1
2,42,8,target,1
2,42,9,target,1
2,42,10,target,1
2,42,11,target,1
2,42,12,target,1
2,42,13,target,1
2,42,14,target,1
2,42,15,target,1
2,42,16,target,1
2,42,17,target,0
2,42,18,target,0
2,42,19,target,0
2,42,20,target,0
2,42,21,target,0
2,42,22,target,0
2,43,1,target,0
2,43,2,target,0
2,43,3,target,1
2,43,4,target,1
2,43,5,target,1
2,43,6,target,1
2,43,7,target,1
2,43,8,target,0
2,43,9,target,0
2,43,10,target,0
2,43,11,target,0
2,43,12,target,0
2,43,13,target,1
2,43,14,target,1
2,43,15,target,1
2,43,16,target,1
2,43,17,target,1
2,43,18,target,0
2,43,19,target,0
2,43,20,target,0
2,43,21,target,0
2,43,22,target,0
2,44,1,target,0
2,44,2,target,0
2,44,3,target,0
2,44,4,target,0
2,44,5,target,0
2,44,6,target,0
2,44,7,target,0
2,44,8,target,0
2,44,9,target,0
2,44,10,target,0
2,44,11,target,0
2,44,12,target,0
2,44,13,target,1
2,44,14,target,1
2,44,15,target,1
2,44,16,target,1
2,44,17,target,1
2,44,18,target,1
2,44,19,target,1
2,44,20,target,1
2,44,21,target,0
2,44,22,target,0
2,45,1,target,0
2,45,2,target,1
2,45,3,target,1
2,45,4,target,1
2,45,5,target,1
2,45,6,target,1
2,45,7,target,1
2,45,8,target,0
2,45,9,target,0
2,45,10,target,0
2,45,11,target,0
2,45,12,target,0
2,45,13,target,0
2,45,14,target,0
2,45,15,target,0
2,45,16,target,0
2,45,17,target,0
2,45,18,target,1
2,45,19,target,1
2,45,20,target,1
2,45,21,target,1
2,45,22,target,1
2,46,1,target,0
2,46,2,target,0
2,46,3,target,0
2,46,4,target,0
2,46,5,target,0
2,46,6,target,0
2,46,7,target,0
2,46,8,target,0
2,46,9,target,0
2,46,10,target,0
2,46,11,target,0
2,46,12,target,0
2,46,13,target,1
2,46,14,target,1
2,46,15,target,1
2,46,16,target,1
2,46,17,target,1
2,46,18,target,1
2,46,19,target,1
2,46,20,target,0
2,46,21,target,0
2,46,22,target,0
2,47,1,target,0
2,47,2,target,0
2,47,3,target,0
2,47,4,target,0
2,47,5,target,0
2,47,6,target,0
2,47,7,target,0
2,47,8,target,0
2,47,9,target,0
2,47,10,target,0
2,47,11,target,0
2,47,12,target,0
2,47,13,target,1
2,47,14,target,1
2,47,15,target,1
2,47,16,target,1
2,47,17,target,1
2,47,18,target,1
2,47,19,target,0
2,47,20,target,0
2,47,21,target,0
2,47,22,target,0
2,48,1,target,1
2,48,2,target,1
2,48,3,target,1
2,48,4,target,1
2,48,5,target,0
2,48,6,target,0
2,48,7,target,0
2,48,8,target,0
2,48,9,target,0
2,48,10,target,0
2,48,11,target,0
2,48,12,target,0
2,48,13,target,1
2,48,14,target,1
2,48,15,target,1
2,48,16,target,1
2,48,17,target,1
2,48,18,target,1
2,48,19,target,1
2,48,20,target,1
2,48,21,target,1
2,48,22,target,1
2,49,1,target,0
2,49,2,target,0
2,49,3,target,0
2,49,4,target,0
2,49,5,target,0
2,49,6,target,0
2,49,7,target,0
2,49,8,target,0
2,49,9,target,0
2,49,10,target,0
2,49,11,target,0
2,49,12,target,0
2,49,13,target,0
2,49,14,target,0
2,49,15,target,0
2,49,16,target,1
2,49,17,target,1
2,49,18,target,1
2,49,19,target,1
2,49,20,target,1
2,49,21,target,0
2,49,22,target,0
2,50,1,target,0
2,50,2,target,0
2,50,3,target,0
2,50,4,target,0
2,50,5,target,0
2,50,6,target,0
2,50,7,target,0
2,50,8,target,0
2,50,9,target,0
2,50,10,target,0
2,50,11,target,0
2,50,12,target,0
2,50,13,target,0
2,50,14,target,0
